0.10,1.9,0.434
0.10,1.8,0.445
0.10,1.7,0.457
0.10,1.6,0.47
0.10,1.5,0.486
0.10,1.4,0.5
0.10,1.3,0.516
0.10,1.2,0.536
0.10,1.1,0.551
0.10,1,0.533
0.10,0.9,0.459
0.10,0.8,0.428
0.10,0.7,0.401
0.10,0.6,0.391
0.10,0.5,0.397
0.10,0.4,0.404
0.10,0.3,0.415
0.10,0.2,0.432
0.10,0.1,0.466
0.10,0.01,0.636
0.20,1.9,0.589
0.20,1.8,0.602
0.20,1.7,0.616
0.20,1.6,0.633
0.20,1.5,0.652
0.20,1.4,0.672
0.20,1.3,0.693
0.20,1.2,0.718
0.20,1.1,0.736
0.20,1,0.719
0.20,0.9,0.623
0.20,0.8,0.546
0.20,0.7,0.473
0.20,0.6,0.439
0.20,0.5,0.44
0.20,0.4,0.444
0.20,0.3,0.453
0.20,0.2,0.468
0.20,0.1,0.5
0.20,0.01,0.665
0.30,1.9,0.767
0.30,1.8,0.783
0.30,1.7,0.8
0.30,1.6,0.821
0.30,1.5,0.845
0.30,1.4,0.873
0.30,1.3,0.901
0.30,1.2,0.932
0.30,1.1,0.953
0.30,1,0.937
0.30,0.9,0.817
0.30,0.8,0.687
0.30,0.7,0.559
0.30,0.6,0.496
0.30,0.5,0.492
0.30,0.4,0.493
0.30,0.3,0.498
0.30,0.2,0.511
0.30,0.1,0.541
0.30,0.01,0.699
0.40,1.9,0.947
0.40,1.8,0.965
0.40,1.7,0.986
0.40,1.6,1.012
0.40,1.5,1.042
0.40,1.4,1.078
0.40,1.3,1.112
0.40,1.2,1.15
0.40,1.1,1.175
0.40,1,1.162
0.40,0.9,1.031
0.40,0.8,0.875
0.40,0.7,0.718
0.40,0.6,0.631
0.40,0.5,0.616
0.40,0.4,0.609
0.40,0.3,0.609
0.40,0.2,0.617
0.40,0.1,0.641
0.40,0.01,0.785
0.50,1.9,1.127
0.50,1.8,1.148
0.50,1.7,1.172
0.50,1.6,1.203
0.50,1.5,1.238
0.50,1.4,1.282
0.50,1.3,1.323
0.50,1.2,1.368
0.50,1.1,1.397
0.50,1,1.387
0.50,0.9,1.235
0.50,0.8,1.034
0.50,0.7,0.828
0.50,0.6,0.714
0.50,0.5,0.693
0.50,0.4,0.681
0.50,0.3,0.679
0.50,0.2,0.685
0.50,0.1,0.707
0.50,0.01,0.843
0.60,1.9,1.307
0.60,1.8,1.331
0.60,1.7,1.358
0.60,1.6,1.394
0.60,1.5,1.434
0.60,1.4,1.487
0.60,1.3,1.534
0.60,1.2,1.586
0.60,1.1,1.619
0.60,1,1.612
0.60,0.9,1.44
0.60,0.8,1.193
0.60,0.7,0.939
0.60,0.6,0.797
0.60,0.5,0.769
0.60,0.4,0.754
0.60,0.3,0.748
0.60,0.2,0.753
0.60,0.1,0.774
0.60,0.01,0.905
0.70,1.9,1.487
0.70,1.8,1.513
0.70,1.7,1.544
0.70,1.6,1.584
0.70,1.5,1.63
0.70,1.4,1.691
0.70,1.3,1.745
0.70,1.2,1.804
0.70,1.1,1.841
0.70,1,1.837
0.70,0.9,1.644
0.70,0.8,1.352
0.70,0.7,1.049
0.70,0.6,0.88
0.70,0.5,0.846
0.70,0.4,0.826
0.70,0.3,0.818
0.70,0.2,0.82
0.70,0.1,0.84
0.70,0.01,0.971
0.80,1.9,1.666
0.80,1.8,1.696
0.80,1.7,1.73
0.80,1.6,1.775
0.80,1.5,1.827
0.80,1.4,1.896
0.80,1.3,1.957
0.80,1.2,2.022
0.80,1.1,2.063
0.80,1,2.062
0.80,0.9,1.849
0.80,0.8,1.51
0.80,0.7,1.16
0.80,0.6,0.962
0.80,0.5,0.922
0.80,0.4,0.899
0.80,0.3,0.887
0.80,0.2,0.888
0.80,0.1,0.907
0.80,0.01,1.037
0.90,1.9,1.846
0.90,1.8,1.879
0.90,1.7,1.916
0.90,1.6,1.966
0.90,1.5,2.023
0.90,1.4,2.1
0.90,1.3,2.168
0.90,1.2,2.24
0.90,1.1,2.285
0.90,1,2.286
0.90,0.9,2.053
0.90,0.8,1.669
0.90,0.7,1.27
0.90,0.6,1.045
0.90,0.5,0.999
0.90,0.4,0.971
0.90,0.3,0.957
0.90,0.2,0.956
0.90,0.1,0.974
0.90,0.01,1.104
1.00,1.9,2.026
1.00,1.8,2.061
1.00,1.7,2.102
1.00,1.6,2.157
1.00,1.5,2.219
1.00,1.4,2.304
1.00,1.3,2.379
1.00,1.2,2.458
1.00,1.1,2.507
1.00,1,2.511
1.00,0.9,2.258
1.00,0.8,1.828
1.00,0.7,1.381
1.00,0.6,1.128
1.00,0.5,1.076
1.00,0.4,1.043
1.00,0.3,1.026
1.00,0.2,1.023
1.00,0.1,1.041
1.00,0.01,1.17
